dcterms:identifier,dcterms:extent,dcterms:title,dcterms:spatial
335,7.6,Edgebrook Park,"6525 N Hiawatha Ave Chicago, IL 60646"
336,0.3,Huckleberry Park,"6200 S Kimbark Ave Chicago, IL 60637"
337,0.2,Moccasin Ranch Park,"6446 S Kimbark Ave Chicago, IL 60637"
338,0.63,Jefferson (Nancy) Park,"3111 W Fulton Blvd Chicago, IL 60612"
339,0.23,Pendleton Park,"4347 S Calumet Ave Chicago, IL 60653"
340,0.33,Boswell Park,"6646 S University Ave Chicago, IL 60637"
343,0.18,Aster Park,"4639 N Kenmore Ave Chicago, IL 60640"
344,0.16,Dogwood Park,"2734 W Polk St Chicago, IL 60612"
347,0.18,Ginkgo Park,"3432 W 15th St Chicago, IL 60623"
348,0.21,Gooseberry Park,"4648 N Malden St Chicago, IL 60640"
351,0.25,Honeysuckle Park,"4637 S Champlain Ave Chicago, IL 60653"
352,0.71,Reyes Park,"827 W 19th St Chicago, IL 60608"
353,0.35,Hornbeam Park,"1422 S Hamlin Ave Chicago, IL 60623"
354,0.25,Railroad Junction Park,"7334 S Maryland Ave Chicago, IL 60619"
355,0.25,Ninebark Park,"1447-1453 S Harding Ave Chicago, IL 60623"
359,0.16,Crawford Park,"1516 S Karlov Ave Chicago, IL 60623"
360,0.51,Lin Park,"1735 S State St Chicago, IL 60616"
361,0.59,Violet Park,"4120 W Taylor St Chicago, IL 60624"
362,2.56,Brooks (Gwendolyn) Park,"4542 S Greenwood Ave Chicago, IL 60653"
363,5.49,Burnside Park,"9400 S Greenwood Ave Chicago, IL 60619"
364,2.42,Gill Park,"825 W Sheridan Rd Chicago, IL 60613"
365,0.84,Bauler Park,"517 W Wisconsin St Chicago, IL 60614"
366,0.67,DeJulio Park,"6056 N Landers Ave Chicago, IL 60646"
368,3.15,Dougherty Park,"9336 S Kingston Ave Chicago, IL 60647"
370,1.96,Stars & Stripes Park,"7000 W 51st Pl Chicago, IL 60638"
371,8.32,Valley Forge Park,"7001 W 59th St Chicago, IL 60638"
372,0.49,Catalpa Park,"4330 S Kedvale Ave Chicago, IL 60632"
373,5.18,Blackwelder Park,"1800 W 115th St Chicago, IL 60643"
375,0.15,Privet Park,"1844 N Sheffield Ave Chicago, IL 60614"
378,0.24,Cornell Park,"5473 S Cornell Ave Chicago, IL 60615"
379,5.5,White (Edward) Park,"1120 W 122nd St Chicago, IL 60643"
381,0.16,Grape Park,"2850 W Avondale Ave Chicago, IL 60618"
382,0.77,Park 382,"8116 S Halsted St Chicago, IL 60620"
384,0.27,Goldberg Park,"7053 N Glenwood Ave Chicago, IL 60626"
385,1.85,Buttercup Park,"4913 N Sheridan Rd Chicago, IL 60640"
386,5.99,Jackson (Mahalia) Park,"8385 S Birkhoff Ave Chicago, IL 60620"
387,2.72,Hoard Park,"7221 S Dobson Ave Chicago, IL 60619"
388,0.48,Washington (Dinah) Park,"8215 S Euclid Ave Chicago, IL 60617"
389,0.22,Snowberry Park,"1855 W Huron St Chicago, IL 60622"
390,0.08,D'Elia Park,"6340 N Lakewood Ave Chicago, IL 60660"
391,0.52,Edmonds Park,"711 W 60th Pl Chicago, IL 60621"
392,0.37,Juniper Park,"3656 N Greenview Ave Chicago, IL 60613"
393,2.18,Walsh Park,"1722 N Ashland Ave Chicago, IL 60614"
394,0.61,Malus Park,"5426 S Shields Ave Chicago, IL 60609"
395,2.08,Leland Giants Park,"7526 S Lowe Ave Chicago, IL 60621"
396,0.16,Snapping Turtle Park,"534 N Albany Ave Chicago, IL 60612"
397,0.32,The Grove Park,"8421 S Morgan St Chicago, IL 60620"
398,0.47,Sheil Community Center Park,"3505 N Southport Ave Chicago, IL 60657"
399,0.17,Park 399,"1420 N Artesian Ave Chicago, IL 60622"
400,1.04,Claremont Park,"2342 W Flournoy St Chicago, IL 60612"
402,0.3,Vogle Park,"2100 W Lawrence Ave Chicago, IL 60625"
403,0.24,Wolcott Park,"6551 S Wolcott Ave Chicago, IL 60636"
404,0.22,Packingtown Park,"4856 S Laflin St Chicago, IL 60609"
405,0.69,DeBow Park,"1126 E 80th St Chicago, IL 60619"
407,6.96,Orr Park,"744 N Pulaski Rd Chicago, IL 60624"
408,9.03,Curie Park,"4959 S Archer Ave Chicago, IL 60632"
412,1.24,Churchill Field Park,"1825 N Damen Ave Chicago, IL 60614"
414,0.3,Park 414,"4302 W Division St Chicago, IL 60651"
415,0.25,Junction Grove Park,"345 W 64th St Chicago, IL 60621"
416,0.25,Cottonwood Park,"5058 W West End Ave Chicago, IL 60644"
417,0.29,Hazelnut Park,"5949 W Huron St Chicago, IL 60644"
419,0.24,Park 419,"8001 S Wabash Ave Chicago, IL 60619"
420,0.38,Cochran Park,"5554 N Magnolia Ave Chicago, IL 60640"
421,1,Park 421,"5300 S Halsted St Chicago, IL 60609"
422,0.86,Park 422,"3200 W Congress Pkwy Chicago, IL 60624"
423,14.4,Oz Park,"2021 N Burling St Chicago, IL 60614"
424,0.15,Spikings Farm Park,"4706 N Pulaski Rd Chicago, IL 60630"
425,0.58,Noethling Park,"2645 N Sheffield Ave Chicago, IL 60614"
426,0.94,Brighton Park,"3501 S Richmond St Chicago, IL 60632"
427,0.16,Ashmore Park,"4807 W Gunnison St Chicago, IL 60630"
428,89.63,Warren Park,"6621 N Western Ave Chicago, IL 60645"
429,71.79,South Shore Community Center Park,"7059 S South Shore Dr Chicago, IL 60649"
430,0.23,Sweet Clover Park,"650 N Leamington Ave Chicago, IL 60644"
431,0.37,Flower Park,"2554 W Moffat St Chicago, IL 60647"
432,0.08,Park 432,"3349 W Rice St Chicago, IL 60651"
433,0.16,Neighbors' Garden Park,"2533 N Sacramento Ave Chicago, IL 60647"
434,0.49,Essex Park,"7687 S South Chicago Ave Chicago, IL 60619"
435,0.31,Bromann Park,"5400 N Broadway Chicago, IL 60640"
436,0.75,Periwinkle Park,"100 W 66th St Chicago, IL 60621"
437,0.3,Park 437,"5653 S Loomis St Chicago, IL 60636"
440,0.23,Luna Park,"5558 S Green St Chicago, IL 60621"
441,0.31,Drexel Park,"6931 S Damen Ave Chicago, IL 60636"
443,1.44,McInerney Park,"4446-58 S. Emerald Ave Chicago, IL 60609"
446,0.97,Lamb Park,"1400 W 109th St Chicago, IL 60643"
447,0.15,Martin Park,"922 W Fletcher St Chicago, IL 60657"
448,6.73,Metcalfe Park,"4196 S State St Chicago, IL 60609"
449,0.33,Wieboldt Park,"1747 W Nelson St Chicago, IL 60657"
450,0.18,Lazarus Park,"1257 W Columbia Ave Chicago, IL 60626"
451,0.45,Sun Yat-Sen Park,"300 W 24th Pl Chicago, IL 60616"
452,22.24,Peterson Park,"5801 N Pulaski Rd Chicago, IL 60646"
453,0.22,Miami Park,"2754 S Trumbull Ave Chicago, IL 60623"
455,1.1,Senior Citizens Memorial Park,"2238 N Oakley Ave Chicago, IL 60647"
457,19.94,Clark (Richard) Park,"3400 N Rockwell Ave Chicago, IL 60618"
459,2.34,Ashe Beach Park,"2701 E 74th St Chicago, IL 60649"
462,2.09,Broadway Armory Park,"5917 N Broadway Chicago, IL 60660"
464,0.89,Quinn Park,"6239 N Mcclellan Ave Chicago, IL 60646"
465,1.46,Dearborn Park,"865 S Park Ter Chicago, IL 60605"
466,1.78,Roosevelt Park,"62 W Roosevelt Rd Chicago, IL 60605"
