schema:amenityFeature,schema:description,dcterms:subject,schema:name,schema:identifier,schema:latitude,schema:longitude,schema:alternateName,schema:address,schema:containedInPlace,map_zoom,geometry,schema:geoWithin,dcterms:isPartOf
,,,Clark (John) Park - Playground,Chicago_Park_Facility_467,41.87666704,-87.74062075,,"4615 W Jackson Blvd Chicago, IL 60644",2333,14,"c(438545.064228942, 4636348.00005858)",7329;7298,""
,,,Clover Park - Playground Park,Chicago_Park_Facility_482,41.92215439,-87.6635072,,"2210 N Southport Ave Chicago, IL 60614",2493,14,"c(444982.854985107, 4641346.0160999)",7371;7239,""
,,,Clybourn Park - Playground Park,Chicago_Park_Facility_484,41.91329282,-87.65237708,,"1755 N Clybourn Ave Chicago, IL 60614",2391,14,"c(445898.269926875, 4640355.05232839)",7371;7239,""
,,,Cochran Park - Playground Park,Chicago_Park_Facility_485,41.98339412,-87.66173788,,"5554 N Magnolia Ave Chicago, IL 60640",2178,14,"c(445182.066010421, 4648144.25244493)",7379;7246,""
,,,Cole Park - Playground,Chicago_Park_Facility_491,41.73969877,-87.61595982,,"361 E 85th St Chicago, IL 60619",2073,14,"c(448780.18958133, 4621059.23219344)",7343;7264,""
,,,Coleman Park - Playground Park,Chicago_Park_Facility_493,41.79640401,-87.60343329,,"900 E 54th Pl Chicago, IL 60615",2091,14,"c(449865.999976052, 4627347.55522743)",7311;7278,""
,,,Coliseum Park - Playground,Chicago_Park_Facility_4535,41.86205945,-87.6262702,,"1466 S Wabash Av Chicago, IL 60605",2243,14,"c(448021.812272304, 4634650.60550748)",7337;7271,""
,,,Columbus Park - Playground 1,Chicago_Park_Facility_513,41.87489819,-87.76569464,,"500 S Central Ave Chicago, IL 60644",2021,14,"c(436462.727356773, 4636169.86661421)",7329;7298,""
,,,Columbus Park - Playground 2,Chicago_Park_Facility_3192,41.87743045,-87.76899147,,"500 S Central Ave Chicago, IL 60644",2021,14,"c(436191.67389372, 4636453.46306238)",7329;7298,""
,,,Commercial Club Park - Playground,Chicago_Park_Facility_526,41.8965952,-87.67387258,,"1845 W Rice St Chicago, IL 60622",2316,14,"c(444101.072311874, 4638514.93412279)",7328;7285,""
,,,Cooper Park - Playground,Chicago_Park_Facility_531,41.68100248,-87.65503446,,"1332 W 117th St Chicago, IL 60643",2086,14,"c(445481.369473153, 4614566.52441364)",7355;7220,""
,,,Cornell Square Park - Playground,Chicago_Park_Facility_543,41.80193503,-87.6701982,,"1809 W 50th St Chicago, IL 60609",1911,14,"c(444323.847483426, 4628002.73290451)",7362;7222,""
,,,Cosme Park - Playground,Chicago_Park_Facility_549,41.7273214,-87.66813797,,"2100 W 91st St Chicago, IL 60620",2003,14,"c(444430.653862946, 4619717.41067925)",7374;7275,""
,,,Cotton Tail Park - Playground,Chicago_Park_Facility_553,41.86210876,-87.62922046,,"44 W 15th St Chicago, IL 60616",2221,14,"c(447776.990270054, 4634657.87063167)",7337;7271,""
,,,Cottonwood Park - Playground Park,Chicago_Park_Facility_554,41.88346522,-87.75256015,,"5058 W West End Ave Chicago, IL 60644",2175,14,"c(437560.973756119, 4637111.40347427)",7329;7298,""
,,,Cragin Park - Playground,Chicago_Park_Facility_558,41.92843998,-87.75849083,,"2611 N Lockwood Ave Chicago, IL 60639",1986,14,"c(437113.063362413, 4642109.19764838)",7322;7297,""
,,,Crawford Park - Playground Park,Chicago_Park_Facility_563,41.86009336,-87.72770823,,"1516 S Karlov Ave Chicago, IL 60623",2131,14,"c(439600.921276128, 4634498.70404433)",7333;7210,""
,,,Crescent Park - Playground,Chicago_Park_Facility_567,41.6971969,-87.67674605,,"2230 W 108th Pl Chicago, IL 60643",1940,14,"c(443688.425236024, 4616378.45577923)",7377;7227,""
,,,D'Elia Park - Playground Park,Chicago_Park_Facility_614,41.99754917,-87.66336608,,"6340 N Lakewood Ave Chicago, IL 60660",2155,14,"c(445059.360261429, 4649716.92343005)",7379;7237,""
,,,Davis (Nathan) Square Park - Playground,Chicago_Park_Facility_590,41.81258713,-87.66703066,,"4430 S Marshfield Ave Chicago, IL 60609",1920,14,"c(444596.168352924, 4629183.34568505)",7362;7222,""
,,,Davis (Margaret) Park - Playground Park,Chicago_Park_Facility_593,41.90196877,-87.762173,,"5427 W Division St Chicago, IL 60651",2392,14,"c(436781.651231706, 4639172.85188368)",7329;7298,""
,,,Dawes Park - Playground,Chicago_Park_Facility_604,41.74720062,-87.67365858,,"8040 S Damen Av Chicago, IL 60620",2045,14,"c(443988.775781994, 4621928.07265467)",7373;7274,""
,,,De Burgos Park - Playground,Chicago_Park_Facility_2203,41.91396566,-87.70477834,,"1805 N Albany Ave Chicago, IL 60647",2287,14,"c(441553.216249517, 4640464.13868334)",7326;7217,""
,,,Dean Park - Playground,Chicago_Park_Facility_608,41.90671366,-87.67068636,,"1356 N Dean St Chicago, IL 60622",2334,14,"c(444374.159285897, 4639636.29325094)",7328;7292,""
,,,DeBow Park - Playground,Chicago_Park_Facility_611,41.74974926,-87.59655625,,"1126 E 80th St Chicago, IL 60619",2169,14,"c(450401.425714575, 4622163.71721143)",7344;7213,""
,,,DeGeorge Park - Playground Park,Chicago_Park_Facility_612,41.91111019,-87.74949259,,"4905 W Wabansia Ave Chicago, IL 60639",2393,14,"c(437842.301253082, 4640178.53924552)",7329;7298,""
,,,DeJulio Park - Playground Park,Chicago_Park_Facility_613,41.99084386,-87.75365206,,"6056 N Landers Ave Chicago, IL 60646",2138,14,"c(437575.189905531, 4649034.30707059)",7315;7254,""
,,,Dickinson Park - Playground,Chicago_Park_Facility_615,41.95544156,-87.75174038,,"4117 N Lavergne Ave Chicago, IL 60641",2454,14,"c(437699.04237753, 4645102.22060785)",7318;7248,""
,,,Dixon Park - Playground,Chicago_Park_Facility_617,41.73268028,-87.60184102,,"8931 S Dauphin Ave Chicago, IL 60619",2453,14,"c(449948.786912752, 4620271.70141242)",7346;7214,""
,,,Dobson Park - Playground Park,Chicago_Park_Facility_618,41.75781577,-87.59895976,,"7521 S Dobson Ave Chicago, IL 60619",2394,14,"c(450207.828324875, 4623060.6879635)",7370;7224,""
,,,Dogwood Park - Playground Park,Chicago_Park_Facility_619,41.8713205,-87.69495164,,"2734 W Polk St Chicago, IL 60612",2123,14,"c(442329.792634218, 4635722.6959327)",7331;7209,""
,,,Donahue Park - Playground,Chicago_Park_Facility_0,41.94185651,-87.66038434,,"1230 W School St Chicago, IL 60657",2302,14,"c(445258.648841705, 4643531.51088406)",7348;7238,""
,,,Donovan Park - Playground,Chicago_Park_Facility_623,41.82841205,-87.64795139,,"3620 S Lituanica Ave Chicago, IL 60609",2336,14,"c(446194.157377599, 4630928.20124375)",7361;7287,""
,,,Dooley Park - Playground,Chicago_Park_Facility_630,41.75353728,-87.70809619,,"3426 W 77th St Chicago, IL 60652",2095,14,"c(441131.240274443, 4622654.59049934)",7372;7225,""
,,,Douglas Park - Playground 1,Chicago_Park_Facility_649,41.85702465,-87.69603094,,"1401 S Sacramento Dr Chicago, IL 60623",2030,14,"c(442227.35838742, 4634136.19443355)",7333;7210,""
,,,Douglas Park - Playground 2,Chicago_Park_Facility_650,41.85619339,-87.70223519,,"1401 S Sacramento Dr Chicago, IL 60623",2030,14,"c(441711.629462764, 4634048.09535653)",7333;7210,""
,,,Douglas Park - Playground 3,Chicago_Park_Facility_651,41.86224726,-87.69631862,,"1401 S Sacramento Dr Chicago, IL 60623",2030,14,"c(442208.182684676, 4634716.23899478)",7333;7210,""
,,,Douglas Park - Playground 4,Chicago_Park_Facility_652,41.86173797,-87.70245569,,"1401 S Sacramento Dr Chicago, IL 60623",2030,14,"c(441698.363552505, 4634663.84341647)",7333;7210,""
,,,Douglas Park - Playground 5,Chicago_Park_Facility_653,41.866191,-87.69988559,,"1401 S Sacramento Dr Chicago, IL 60623",2030,14,"c(441915.705677629, 4635156.50845252)",7333;7210,""
,,,Drexel Park - Playground Park,Chicago_Park_Facility_662,41.76738194,-87.67323916,,"6931 S Damen Ave Chicago, IL 60636",2197,14,"c(444041.183186002, 4624168.43131576)",7368;7223,""
,,3192,Dunbar Park - Playground 1,Chicago_Park_Facility_669,41.84180914,-87.62126161,,"200 E 31st St Chicago, IL 60616",2071,14,"c(448421.242837087, 4632399.25997715)",7304;7235,""
,,,Dunbar Park - Playground 2,Chicago_Park_Facility_670,41.83861683,-87.62114526,,"200 E 31st St Chicago, IL 60616",2071,14,"c(448428.339366655, 4632044.7591515)",7304;7235,""
,,,Dunham Park - Playground,Chicago_Park_Facility_687,41.96628467,-87.78243391,,"4640 N Melvina Ave Chicago, IL 60630",2062,14,"c(435166.273194314, 4646328.89241767)",7318;7248,""
,,,Durkin Park - Playground,Chicago_Park_Facility_698,41.74004296,-87.72853068,,"8441 S Kolin Ave Chicago, IL 60652",2072,14,"c(439419.689423432, 4621170.56798339)",7372;7225,""
,,,Durso Park - Playground,Chicago_Park_Facility_704,41.89858636,-87.63964125,,"421 W Locust St Chicago, IL 60610",2343,14,"c(446942.283515897, 4638714.27130172)",7340;7301,""
