objectid,park_no,park,facility_n,facility_t,gisobjid,Park_Name,Park_Address,ward,schema:name,schema:identifier,Chicago_Park_ID,geometry,omeka_id_community_area,dcterms:isPartOf
2844,233,VITTUM (HARRIET ELIZABETH),Playground,OUTDOOR,4272,Vittum Park,"5014 W 50th St Chicago, IL 60638",Chicago_Ward_22,Vittum Park - Playground,Chicago_Park_Facility_2844,Chicago_Park_233,"c(437934.334794352, 4628147.87162766)",7358,7221
2850,402,VOGLE (HENRY JR.),Playground Park,OUTDOOR,4278,Vogle Park,"2100 W Lawrence Ave Chicago, IL 60625",Chicago_Ward_47,Vogle Park - Playground Park,Chicago_Park_Facility_2850,Chicago_Park_402,"c(443501.456652316, 4646556.52898648)",7309,7241
2851,1068,WAGNER (CLARENCE),Playground,OUTDOOR,4279,Wagner Park,"948 W 51st St Chicago, IL 60609",Chicago_Ward_20,Wagner Park - Playground,Chicago_Park_Facility_2851,Chicago_Park_1068,"c(446018.238442231, 4627970.14220683)",7362,7222
2853,1069,WALLACE,Playground,OUTDOOR,4281,Wallace Park,"607 W 92nd St Chicago, IL 60620",Chicago_Ward_21,Wallace Park - Playground,Chicago_Park_Facility_2853,Chicago_Park_1069,"c(446857.901335567, 4619642.11235688)",7375,7276
2855,1278,WALNUT,Playground,OUTDOOR,4283,Ruiz Park,"3801 W 45th St Chicago, IL 60632",Chicago_Ward_14,Ruiz Park - Playground,Chicago_Park_Facility_2855,Chicago_Park_1278,"c(440270.999878717, 4629083.11037082)",7359,7282
2858,393,WALSH (JOHN),Playground,OUTDOOR,4286,Walsh Park,"1722 N Ashland Ave Chicago, IL 60614",Chicago_Ward_32,Walsh Park - Playground,Chicago_Park_Facility_2858,Chicago_Park_393,"c(444547.613584842, 4640432.35498758)",7328,7292
2859,522,WANG (CHI CHE),Playground,OUTDOOR,4287,Wang Park,"1719 W Wolfram St Chicago, IL 60657",Chicago_Ward_32,Wang Park - Playground,Chicago_Park_Facility_2859,Chicago_Park_522,"c(444215.677539858, 4642583.19327359)",7348,7238
2861,511,WARD (A. MONTGOMERY),Playground,OUTDOOR,4289,Montgomery Ward Park,"630 N Kingsbury Ave Chicago, IL 60610",Chicago_Ward_0,Montgomery Ward Park - Playground,Chicago_Park_Facility_2861,Chicago_Park_511,"c(446714.68701165, 4638177.5332477)",7340,7301
2875,428,WARREN (LAURENCE),Playground,OUTDOOR,4303,Warren Park,"6621 N Western Ave Chicago, IL 60645",Chicago_Ward_50,Warren Park - Playground 1,Chicago_Park_Facility_2875,Chicago_Park_428,"c(442948.768448792, 4650050.25834034)",7323,7259
2876,428,WARREN (LAURENCE),Playground,OUTDOOR,4304,Warren Park,"6621 N Western Ave Chicago, IL 60645",Chicago_Ward_50,Warren Park - Playground 2,Chicago_Park_Facility_2876,Chicago_Park_428,"c(442922.129322654, 4650520.04932604)",7323,7259
2877,428,WARREN (LAURENCE),Playground,OUTDOOR,4305,Warren Park,"6621 N Western Ave Chicago, IL 60645",Chicago_Ward_50,Warren Park - Playground 3,Chicago_Park_Facility_2877,Chicago_Park_428,"c(443558.829546865, 4650505.67430645)",7323,7259
