schema:longitude,schema:latitude,schema:address,schema:name,schema:addressLocality,schema:name...18,schema:containedInPlace,schema:name...17,schema:identifier
-87.62099352599837,41.8260718475365,"3748 S Prairie Ave Chicago, IL 60653",Anderson (Louis) Park - Basketball Backboard 6,1861,Ward 3,2328,Anderson (Louis) Park,Chicago_Park_Facility_3225
-87.6209129190783,41.82616890397633,"3748 S Prairie Ave Chicago, IL 60653",Anderson (Louis) Park - Basketball Backboard 7,1861,Ward 3,2328,Anderson (Louis) Park,Chicago_Park_Facility_3226
-87.62083597405021,41.82607919856769,"3748 S Prairie Ave Chicago, IL 60653",Anderson (Louis) Park - Basketball Backboard 8,1861,Ward 3,2328,Anderson (Louis) Park,Chicago_Park_Facility_3227
-87.62091376991752,41.82607413586547,"3748 S Prairie Ave Chicago, IL 60653",Anderson (Louis) Park - Basketball Court 1,1861,Ward 3,2328,Anderson (Louis) Park,Chicago_Park_Facility_57
-87.62090873922811,41.825863741823355,"3748 S Prairie Ave Chicago, IL 60653",Anderson (Louis) Park - Basketball Court 2,1861,Ward 3,2328,Anderson (Louis) Park,Chicago_Park_Facility_58
-87.62067322398896,41.82632742788625,"3748 S Prairie Ave Chicago, IL 60653",Anderson (Louis) Park - Community Garden,1861,Ward 3,2328,Anderson (Louis) Park,Chicago_Park_Facility_17023
-87.62088153198654,41.82627613618213,"3748 S Prairie Ave Chicago, IL 60653",Anderson (Louis) Park - Gymnasium,1861,Ward 3,2328,Anderson (Louis) Park,Chicago_Park_Facility_59
-87.62064020152745,41.82591273944526,"3748 S Prairie Ave Chicago, IL 60653",Anderson (Louis) Park - Playground,1861,Ward 3,2328,Anderson (Louis) Park,Chicago_Park_Facility_60
-87.6206492009532,41.82576521104588,"3748 S Prairie Ave Chicago, IL 60653",Anderson (Louis) Park - Spray Feature,1861,Ward 3,2328,Anderson (Louis) Park,Chicago_Park_Facility_61
-87.66928219895237,41.97714903975003,"5233 N Ashland Ave Chicago, IL 60640",Andersonville Park - Playground Park,1906,Ward 40,2381,Andersonville Park,Chicago_Park_Facility_62
-87.60879819228886,41.69140562266918,"11144 S St Lawrence Ave Chicago, IL 60628",Arcade Park - Community Garden,1870,Ward 9,2446,Arcade Park,Chicago_Park_Facility_17014
-87.73397959653178,41.80279938869521,"4901 S Kilbourn Ave Chicago, IL 60632",Archer Park - Artificial Turf Field,1890,Ward 14,2056,Archer Park,Chicago_Park_Facility_77
-87.73425168117546,41.80472622466192,"4901 S Kilbourn Ave Chicago, IL 60632",Archer Park - Baseball Jr/Softball 1,1890,Ward 14,2056,Archer Park,Chicago_Park_Facility_69
-87.73426053935465,41.8051002725624,"4901 S Kilbourn Ave Chicago, IL 60632",Archer Park - Baseball Jr/Softball 2,1890,Ward 14,2056,Archer Park,Chicago_Park_Facility_70
-87.73536074216393,41.805576970242306,"4901 S Kilbourn Ave Chicago, IL 60632",Archer Park - Baseball Jr/Softball 3,1890,Ward 14,2056,Archer Park,Chicago_Park_Facility_71
-87.7344890508089,41.80309293574059,"4901 S Kilbourn Ave Chicago, IL 60632",Archer Park - Baseball Jr/Softball 4,1890,Ward 14,2056,Archer Park,Chicago_Park_Facility_72
-87.73519041438855,41.80265794614161,"4901 S Kilbourn Ave Chicago, IL 60632",Archer Park - Baseball Sr 1,1890,Ward 14,2056,Archer Park,Chicago_Park_Facility_63
-87.73525526080226,41.804311279479826,"4901 S Kilbourn Ave Chicago, IL 60632",Archer Park - Baseball Sr 2,1890,Ward 14,2056,Archer Park,Chicago_Park_Facility_75
-87.73481511227637,41.80397441900894,"4901 S Kilbourn Ave Chicago, IL 60632",Archer Park - Basketball Backboard 1,1890,Ward 14,2056,Archer Park,Chicago_Park_Facility_3228
-87.7348074776704,41.80379128317985,"4901 S Kilbourn Ave Chicago, IL 60632",Archer Park - Basketball Backboard 2,1890,Ward 14,2056,Archer Park,Chicago_Park_Facility_3229
-87.73477806570885,41.803865532510684,"4901 S Kilbourn Ave Chicago, IL 60632",Archer Park - Basketball Court,1890,Ward 14,2056,Archer Park,Chicago_Park_Facility_64
-87.73510033670948,41.80349436372729,"4901 S Kilbourn Ave Chicago, IL 60632",Archer Park - Fitness Center,1890,Ward 14,2056,Archer Park,Chicago_Park_Facility_66
-87.73487781588321,41.804994076307835,"4901 S Kilbourn Ave Chicago, IL 60632",Archer Park - Football/Soccer Combo Fld,1890,Ward 14,2056,Archer Park,Chicago_Park_Facility_65
-87.73517321918148,41.803572769765736,"4901 S Kilbourn Ave Chicago, IL 60632",Archer Park - Gymnasium,1890,Ward 14,2056,Archer Park,Chicago_Park_Facility_67
-87.73394435095231,41.80254525261481,"4901 S Kilbourn Ave Chicago, IL 60632",Archer Park - Horseshoe Court 1,1890,Ward 14,2056,Archer Park,Chicago_Park_Facility_68
-87.734056631086,41.80254599867477,"4901 S Kilbourn Ave Chicago, IL 60632",Archer Park - Horseshoe Court 2,1890,Ward 14,2056,Archer Park,Chicago_Park_Facility_3142
-87.73390240935784,41.8025469947377,"4901 S Kilbourn Ave Chicago, IL 60632",Archer Park - Horseshoe Court 3,1890,Ward 14,2056,Archer Park,Chicago_Park_Facility_3143
-87.73400461527191,41.80254556704427,"4901 S Kilbourn Ave Chicago, IL 60632",Archer Park - Horseshoe Court 4,1890,Ward 14,2056,Archer Park,Chicago_Park_Facility_3144
-87.73423123561952,41.80360872979382,"4901 S Kilbourn Ave Chicago, IL 60632",Archer Park - Playground,1890,Ward 14,2056,Archer Park,Chicago_Park_Facility_73
-87.73398888327075,41.80312726609995,"4901 S Kilbourn Ave Chicago, IL 60632",Archer Park - Tennis Court,1890,Ward 14,2056,Archer Park,Chicago_Park_Facility_76
-87.73508677412029,41.8038486707639,"4901 S Kilbourn Ave Chicago, IL 60632",Archer Park - Water Playground,1890,Ward 14,2056,Archer Park,Chicago_Park_Facility_78
-87.6333229313522,41.833788254751134,"3309 S Shields Ave Chicago, IL 60616",Armour Square Park - Baseball Jr/Softball 1,1881,Ward 11,1909,Armour Square Park,Chicago_Park_Facility_82
-87.63329985116238,41.83316508430489,"3309 S Shields Ave Chicago, IL 60616",Armour Square Park - Baseball Jr/Softball 2,1881,Ward 11,1909,Armour Square Park,Chicago_Park_Facility_83
-87.63409302659261,41.833780534217134,"3309 S Shields Ave Chicago, IL 60616",Armour Square Park - Baseball Jr/Softball 3,1881,Ward 11,1909,Armour Square Park,Chicago_Park_Facility_84
-87.63399652016585,41.83319414985284,"3309 S Shields Ave Chicago, IL 60616",Armour Square Park - Baseball Sr,1881,Ward 11,1909,Armour Square Park,Chicago_Park_Facility_89
-87.63498316492353,41.83413799736791,"3309 S Shields Ave Chicago, IL 60616",Armour Square Park - Fitness Center,1881,Ward 11,1909,Armour Square Park,Chicago_Park_Facility_80
-87.63365368194471,41.83356709635977,"3309 S Shields Ave Chicago, IL 60616",Armour Square Park - Football/Soccer Combo Fld,1881,Ward 11,1909,Armour Square Park,Chicago_Park_Facility_79
-87.63463860272604,41.83406768255976,"3309 S Shields Ave Chicago, IL 60616",Armour Square Park - Gymnasium 1,1881,Ward 11,1909,Armour Square Park,Chicago_Park_Facility_81
-87.63470245234163,41.83441182814964,"3309 S Shields Ave Chicago, IL 60616",Armour Square Park - Gymnasium 2,1881,Ward 11,1909,Armour Square Park,Chicago_Park_Facility_3140
-87.63399439921082,41.83430367585213,"3309 S Shields Ave Chicago, IL 60616",Armour Square Park - Playground,1881,Ward 11,1909,Armour Square Park,Chicago_Park_Facility_86
-87.63480499982082,41.83423414251416,"3309 S Shields Ave Chicago, IL 60616",Armour Square Park - Pool (Outdoor),1881,Ward 11,1909,Armour Square Park,Chicago_Park_Facility_85
-87.63494101730582,41.83301869715955,"3309 S Shields Ave Chicago, IL 60616",Armour Square Park - Sport Roller Court,1881,Ward 11,1909,Armour Square Park,Chicago_Park_Facility_92
-87.63352353302145,41.83426357497113,"3309 S Shields Ave Chicago, IL 60616",Armour Square Park - Spray Feature,1881,Ward 11,1909,Armour Square Park,Chicago_Park_Facility_88
-87.63460576982908,41.833021621853305,"3309 S Shields Ave Chicago, IL 60616",Armour Square Park - Tennis Court 1,1881,Ward 11,1909,Armour Square Park,Chicago_Park_Facility_90
-87.63477510696451,41.83301520598193,"3309 S Shields Ave Chicago, IL 60616",Armour Square Park - Tennis Court 2,1881,Ward 11,1909,Armour Square Park,Chicago_Park_Facility_91
-87.63463439363377,41.83374659569188,"3309 S Shields Ave Chicago, IL 60616",Armour Square Park - Volleyball (Sand),1881,Ward 11,1909,Armour Square Park,Chicago_Park_Facility_87
-87.61103054012428,41.81353119842788,"4433 S St Lawrence Chicago, IL 60653",Armstrong Park - Baseball Jr/Softball 1,1861,Ward 3,2230,Armstrong Park,Chicago_Park_Facility_96
-87.6110998271875,41.81449894693153,"4433 S St Lawrence Chicago, IL 60653",Armstrong Park - Baseball Jr/Softball 2,1861,Ward 3,2230,Armstrong Park,Chicago_Park_Facility_97
-87.60989336799763,41.81443642367876,"4433 S St Lawrence Chicago, IL 60653",Armstrong Park - Basketball Backboard 1,1861,Ward 3,2230,Armstrong Park,Chicago_Park_Facility_3230
-87.60958304405001,41.814442757450024,"4433 S St Lawrence Chicago, IL 60653",Armstrong Park - Basketball Backboard 2,1861,Ward 3,2230,Armstrong Park,Chicago_Park_Facility_3231
-87.6095703560077,41.814257551117436,"4433 S St Lawrence Chicago, IL 60653",Armstrong Park - Basketball Backboard 3,1861,Ward 3,2230,Armstrong Park,Chicago_Park_Facility_3232
-87.60989169566038,41.814256812205564,"4433 S St Lawrence Chicago, IL 60653",Armstrong Park - Basketball Backboard 4,1861,Ward 3,2230,Armstrong Park,Chicago_Park_Facility_3233
-87.6097238648278,41.81443553428534,"4433 S St Lawrence Chicago, IL 60653",Armstrong Park - Basketball Court 1,1861,Ward 3,2230,Armstrong Park,Chicago_Park_Facility_93
-87.60972240458274,41.814255619828145,"4433 S St Lawrence Chicago, IL 60653",Armstrong Park - Basketball Court 2,1861,Ward 3,2230,Armstrong Park,Chicago_Park_Facility_94
-87.61062491639481,41.81402282953044,"4433 S St Lawrence Chicago, IL 60653",Armstrong Park - Football/Soccer Combo Fld,1861,Ward 3,2230,Armstrong Park,Chicago_Park_Facility_95
-87.60971037866166,41.81377579878813,"4433 S St Lawrence Chicago, IL 60653",Armstrong Park - Playground,1861,Ward 3,2230,Armstrong Park,Chicago_Park_Facility_98
-87.65923857196103,41.871779146532084,"1250 W Lexington St Chicago, IL 60607",Arrigo Park - Football/Soccer Combo Fld,1896,Ward 28,2027,Arrigo Park,Chicago_Park_Facility_99
-87.55735249799433,41.76263482092485,"2701 E 74th St Chicago, IL 60649",Ashe Beach Park - Beach,1883,Ward 7,2209,Ashe Beach Park,Chicago_Park_Facility_100
