schema:materialExtent,schema:name,schema:address,schema:identifier,schema:addressLocality,schema:name...18
0.21,Wilson (John) Community Center Park,"3225 S Racine Ave Chicago, IL 60608",Chicago_Park_1018,1881,Ward 11
0.78,Adams (George & Adele) Park,"1919 N Seminary Ave Chicago, IL 60614",Chicago_Park_1019,1898,Ward 43
0.99,Anderson (Louis) Park,"3748 S Prairie Ave Chicago, IL 60653",Chicago_Park_1020,1861,Ward 3
1.05,Augusta Park,"4431 W Augusta Blvd Chicago, IL 60651",Chicago_Park_1021,1900,Ward 37
0.7,Barrett Park,"2022 W Cermak Rd Chicago, IL 60608",Chicago_Park_1022,1873,Ward 25
2.15,Bosley Park,"3044 S Bonfield St Chicago, IL 60608",Chicago_Park_1024,1881,Ward 11
4.93,Taylor- Lauridsen Park,"647 W Root St Chicago, IL 60609",Chicago_Park_1025,1881,Ward 11
2.2,Clark (John) Park,"4615 W Jackson Blvd Chicago, IL 60644",Chicago_Park_1026,1896,Ward 28
0.66,Dean Park,"1356 N Dean St Chicago, IL 60622",Chicago_Park_1027,1893,Ward 1
1.26,Micek Park,"5311 S Hamilton Ave Chicago, IL 60609",Chicago_Park_1028,1901,Ward 16
3.24,Donovan Park,"3620 S Lituanica Ave Chicago, IL 60609",Chicago_Park_1029,1881,Ward 11
3.76,Fosco Park,"1313 S Throop St Chicago, IL 60608",Chicago_Park_1030,1873,Ward 25
1.55,Gross Park,"2708 W Lawrence Ave Chicago, IL 60625",Chicago_Park_1031,1906,Ward 40
1.78,Haas Park,"2402 N Washtenaw Ave Chicago, IL 60647",Chicago_Park_1032,1893,Ward 1
0.75,Harding (George) Park,"4912 S Calumet Ave Chicago, IL 60615",Chicago_Park_1033,1861,Ward 3
3.22,Horan Park,"3035 W Van Buren St Chicago, IL 60612",Chicago_Park_1035,1896,Ward 28
2.38,Hoyne Park,"3417 S Hamilton Ave Chicago, IL 60608",Chicago_Park_1036,1871,Ward 12
1.48,Durso Park,"421 W Locust St Chicago, IL 60610",Chicago_Park_1037,1905,Ward 27
3.5,Indian Road Park,"6010 W Matson Ave Chicago, IL 60646",Chicago_Park_1038,1899,Ward 39
1.68,Kedvale Park,"4140 W Hirsch St Chicago, IL 60651",Chicago_Park_1039,1867,Ward 26
1.93,Kells Park,"3201 W Chicago Ave Chicago, IL 60624",Chicago_Park_1040,1905,Ward 27
4.88,Kensington Park,"345 E 118th St Chicago, IL 60628",Chicago_Park_1041,1870,Ward 9
2.94,Ken-Well Park,"2945 N Kenosha Ave Chicago, IL 60641",Chicago_Park_1042,1888,Ward 31
3.31,White (Willye) Park,"7631 N Ashland Ave Chicago, IL 60626",Chicago_Park_1043,1876,Ward 49
4.42,Lowe Park,"5203 S Lowe Ave Chicago, IL 60609",Chicago_Park_1044,1861,Ward 3
1.32,Maplewood Park,"1640 N Maplewood Ave Chicago, IL 60647",Chicago_Park_1045,1893,Ward 1
0.96,Marshfield Park,"1637 W 87th St Chicago, IL 60620",Chicago_Park_1046,1878,Ward 21
2.55,Garibaldi Park,"1520 W Polk St Chicago, IL 60607",Chicago_Park_1047,1896,Ward 28
2.99,Memorial Park,"149 W 73rd St Chicago, IL 60621",Chicago_Park_1048,1902,Ward 6
3.1,Meyering Park,"7140 S Dr Martin Luther King J Chicago, IL 60619",Chicago_Park_1049,1902,Ward 6
3.74,Moore Park,"5085 W Adams St Chicago, IL 60644",Chicago_Park_1050,1896,Ward 28
1.94,Moran Park,"5727 S Racine Ave Chicago, IL 60621",Chicago_Park_1051,1901,Ward 16
5.69,Munroe Park,"2617 W 105th St Chicago, IL 60655",Chicago_Park_1052,1885,Ward 19
3.51,Murray Park,"1743 W 73rd St Chicago, IL 60636",Chicago_Park_1053,1863,Ward 17
2.89,Normandy Park,"6660 W 52nd St Chicago, IL 60638",Chicago_Park_1054,1890,Ward 14
0.96,Little Venice Park,"2251 W 50th Pl Chicago, IL 60609",Chicago_Park_1055,1904,Ward 15
0.79,Park-View Park,"3823 W School St Chicago, IL 60618",Chicago_Park_1056,1895,Ward 30
1,Paschen Park,"1932 W Lunt Ave Chicago, IL 60626",Chicago_Park_1057,1876,Ward 49
0.67,Pietrowski Park,"9650 S Avenue M Chicago, IL 60617",Chicago_Park_1058,1891,Ward 10
2.18,McKiernan Park,"10714 S Sawyer Ave Chicago, IL 60655",Chicago_Park_1060,1885,Ward 19
2.15,Schreiber Park,"1552 W Schreiber Ave Chicago, IL 60626",Chicago_Park_1061,1906,Ward 40
0.74,Kucinski- Murphy Park,"1635 W 33rd Pl Chicago, IL 60608",Chicago_Park_1062,1871,Ward 12
1.07,Back of the Yards Park,"4920 S Throop St Chicago, IL 60609",Chicago_Park_1063,1884,Ward 20
1.14,Tilton Park,"305 N Kostner Chicago, IL 60624",Chicago_Park_1064,1896,Ward 28
3.26,Touhy- Herbert Park,"2106 W Adams St Chicago, IL 60612",Chicago_Park_1065,1905,Ward 27
0.49,Limas Park,"2410 S Trumbull Ave Chicago, IL 60623",Chicago_Park_1066,1880,Ward 22
4.81,Veterans' Memorial Park,"2820 E 98th St Chicago, IL 60617",Chicago_Park_1067,1891,Ward 10
1.07,Wagner Park,"948 W 51st St Chicago, IL 60609",Chicago_Park_1068,1884,Ward 20
1.04,Wallace Park,"607 W 92nd St Chicago, IL 60620",Chicago_Park_1069,1878,Ward 21
1.02,Washtenaw Park,"2521 S Washtenaw Ave Chicago, IL 60608",Chicago_Park_1070,1864,Ward 24
1.55,Wilson (John) Park,"1122 W 34th Pl Chicago, IL 60608",Chicago_Park_1071,1881,Ward 11
4.47,Wolfe Park,"3325 E 108th St Chicago, IL 60617",Chicago_Park_1072,1891,Ward 10
