schema:longitude,schema:latitude,schema:address,schema:name,schema:addressLocality,schema:name...18,schema:containedInPlace,schema:name...17,schema:identifier
-87.68509851625976,41.92198798083991,"2200 N Oakley Ave Chicago, IL 60647",Holstein Park - Pool (Outdoor),1887,Ward 32,2015,Holstein Park,Chicago_Park_Facility_1190
-87.68486454664419,41.922149271021894,"2200 N Oakley Ave Chicago, IL 60647",Holstein Park - Spray Feature,1887,Ward 32,2015,Holstein Park,Chicago_Park_Facility_1193
-87.71409760169402,41.869541961714965,"3517 W Arthington St Chicago, IL 60624",Homan Square Community Center Park - Pool (Indoor),1864,Ward 24,2250,Homan Square Community Center Park,Chicago_Park_Facility_2189
-87.70239909058849,41.875640959110484,"3035 W Van Buren St Chicago, IL 60612",Horan Park - Spray Feature,1896,Ward 28,2341,Horan Park,Chicago_Park_Facility_1199
-87.7204411789694,41.86197650116683,"1422 S Hamlin Ave Chicago, IL 60623",Hornbeam Park - Spray Feature,1864,Ward 24,2128,Hornbeam Park,Chicago_Park_Facility_1201
-87.66391454785986,42.018863532398186,"1300 W Howard St Chicago, IL 60626",Howard Beach Park - Beach,1876,Ward 49,2478,Howard Beach Park,Chicago_Park_Facility_1229
-87.70370289262134,41.90636508140679,"1400 N Humboldt Dr Chicago, IL 60622",Humboldt Park - Beach,1867,Ward 26,2031,Humboldt Park,Chicago_Park_Facility_1245
-87.70366868774589,41.89872908358919,"1400 N Humboldt Dr Chicago, IL 60622",Humboldt Park - Pool (Outdoor),1867,Ward 26,2031,Humboldt Park,Chicago_Park_Facility_1267
-87.6995506013907,41.90803699174365,"1400 N Humboldt Dr Chicago, IL 60622",Humboldt Park - Spray Feature,1867,Ward 26,2031,Humboldt Park,Chicago_Park_Facility_1273
-87.70335160347153,41.89850765366513,"1400 N Humboldt Dr Chicago, IL 60622",Humboldt Park - Water Playground,1867,Ward 26,2031,Humboldt Park,Chicago_Park_Facility_1274
-87.70360369913672,41.89850275923948,"1400 N Humboldt Dr Chicago, IL 60622",Humboldt Park - Water Slide,1867,Ward 26,2031,Humboldt Park,Chicago_Park_Facility_1283
-87.72476132800348,41.952970609924094,"3945 N Springfield Ave Chicago, IL 60618",Independence Park - Pool (Indoor),1886,Ward 45,1956,Independence Park,Chicago_Park_Facility_1288
-87.72472019664539,41.95347862687527,"3945 N Springfield Ave Chicago, IL 60618",Independence Park - Spray Feature,1886,Ward 45,1956,Independence Park,Chicago_Park_Facility_1293
-87.69268916591533,42.00993740537251,"2500 W Lunt Ave Chicago, IL 60645",Indian Boundary Park - Spray Feature,1889,Ward 50,1998,Indian Boundary Park,Chicago_Park_Facility_1301
-87.77888154292398,41.99310831054473,"6010 W Matson Ave Chicago, IL 60646",Indian Road Park - Spray Feature,1899,Ward 39,2344,Indian Road Park,Chicago_Park_Facility_1309
-87.57388546491549,41.78211164039568,"6401 S Stony Island Ave Chicago, IL 60637",Jackson (Andrew) Park - Beach 1,1866,Ward 5,1925,Jackson (Andrew) Park,Chicago_Park_Facility_1313
-87.57897521479163,41.79089673512786,"6401 S Stony Island Ave Chicago, IL 60637",Jackson (Andrew) Park - Beach 2,1866,Ward 5,1925,Jackson (Andrew) Park,Chicago_Park_Facility_1314
-87.57413818329135,41.781541838779034,"6401 S Stony Island Ave Chicago, IL 60637",Jackson (Andrew) Park - Spray Feature,1866,Ward 5,1925,Jackson (Andrew) Park,Chicago_Park_Facility_4197
-87.64214140501406,41.85905671007587,"1630 S Jefferson St Chicago, IL 60616",Jefferson (Thomas) Park - Spray Feature,NA,NA,2406,Jefferson (Thomas) Park,Chicago_Park_Facility_6454
-87.76384542958131,41.96870707461643,"4822 N Long Ave Chicago, IL 60630",Jefferson (Thomas) Memorial Park - Pool (Outdoor),1886,Ward 45,1963,Jefferson (Thomas) Memorial Park,Chicago_Park_Facility_1379
-87.76328315336758,41.9683029011157,"4822 N Long Ave Chicago, IL 60630",Jefferson (Thomas) Memorial Park - Spray Feature,1886,Ward 45,1963,Jefferson (Thomas) Memorial Park,Chicago_Park_Facility_1381
-87.72091584751396,41.965927910658216,"4600 N Lawndale Ave Chicago, IL 60625",Jensen Park - Spray Feature,1903,Ward 35,1955,Jensen Park,Chicago_Park_Facility_1391
-87.65491393752951,41.928497197179105,"1023 W Wrightwood Ave Chicago, IL 60614",Jonquil Park - Spray Feature,1898,Ward 43,2487,Jonquil Park,Chicago_Park_Facility_16695
-87.66522105245443,42.022444832333086,"7751 N Eastlake Ter Chicago, IL 60626",Juneway Beach Park - Beach,1876,Ward 49,2480,Juneway Beach Park,Chicago_Park_Facility_5822
-87.6669664967417,41.94865287074572,"3656 N Greenview Ave Chicago, IL 60613",Juniper Park - Spray Feature,1868,Ward 44,2157,Juniper Park,Chicago_Park_Facility_1399
-87.73056488456443,41.90676584255758,"4140 W Hirsch St Chicago, IL 60651",Kedvale Park - Spray Feature,1867,Ward 26,2345,Kedvale Park,Chicago_Park_Facility_1403
-87.73710886688075,41.93007720554909,"4438 W Wrightwood Ave Chicago, IL 60639",Kelvyn Park - Spray Feature,1888,Ward 31,1981,Kelvyn Park,Chicago_Park_Facility_1424
-87.73379674602701,41.93553367775744,"2945 N Kenosha Ave Chicago, IL 60641",Ken-Well Park - Spray Feature,1888,Ward 31,2348,Ken-Well Park,Chicago_Park_Facility_1457
-87.68204631352083,41.68711031448866,"11320 S Western Ave Chicago, IL 60655",Kennedy Park - Pool (Outdoor),1885,Ward 19,1941,Kennedy Park,Chicago_Park_Facility_1434
-87.6822868280298,41.68767790909178,"11320 S Western Ave Chicago, IL 60655",Kennedy Park - Spray Feature,1885,Ward 19,1941,Kennedy Park,Chicago_Park_Facility_9016
-87.61612132837875,41.67968491146266,"345 E 118th St Chicago, IL 60628",Kensington Park - Spray Feature,1870,Ward 9,2347,Kensington Park,Chicago_Park_Facility_1450
-87.59293372811493,41.8058708447778,"1330 E 50th St Chicago, IL 60615",Kenwood Comm. Park - Spray Feature,1882,Ward 4,2318,Kenwood Comm. Park,Chicago_Park_Facility_1465
-87.65430925924568,41.7543824168585,"1212 W 77th St Chicago, IL 60620",King Park - Spray Feature,1863,Ward 17,2115,King Park,Chicago_Park_Facility_1486
-87.72381597294235,41.931511414338495,"2732 N Avers Ave Chicago, IL 60647",Kosciuszko Park - Pool (Indoor),1888,Ward 31,1975,Kosciuszko Park,Chicago_Park_Facility_1497
-87.724093549671,41.93032247535328,"2732 N Avers Ave Chicago, IL 60647",Kosciuszko Park - Spray Feature,1888,Ward 31,1975,Kosciuszko Park,Chicago_Park_Facility_1503
-87.53686304571956,41.702910881522946,"10558 S Avenue L Chicago, IL 60617",Krause Park - Spray Feature,1891,Ward 10,2382,Krause Park,Chicago_Park_Facility_1506
-87.66629584102546,41.833107212222615,"1635 W 33rd Pl Chicago, IL 60608",Kucinski- Murphy Park - Spray Feature,1871,Ward 12,2367,Kucinski- Murphy Park,Chicago_Park_Facility_1508
-87.75511789738208,41.90513788088653,"1333 N Laramie Ave Chicago, IL 60651",La Follette Park - Pool (Indoor),1900,Ward 37,2013,La Follette Park,Chicago_Park_Facility_1513
-87.75158374027595,41.90446931259027,"1333 N Laramie Ave Chicago, IL 60651",La Follette Park - Water Playground,1900,Ward 37,2013,La Follette Park,Chicago_Park_Facility_1520
-87.70165000664363,41.840989247304826,"2800 S Sacramento Ave Chicago, IL 60608",La Villita Park - Spray Feature,1871,Ward 12,2286,La Villita Park,Chicago_Park_Facility_10935
-87.65424946466936,41.989753217597254,"1000 W Thorndale Ave Chicago, IL 60660",Lane Beach Park - Beach,1872,Ward 48,2484,Lane Beach Park,Chicago_Park_Facility_1537
-87.75238206212649,41.77658865635234,"5210 W 64th St Chicago, IL 60638",Lawler Park - Spray Feature,1869,Ward 13,2319,Lawler Park,Chicago_Park_Facility_1550
-87.75047848755545,41.812815153023784,"5116 W 44th St Chicago, IL 60638",Le Claire- Hearst Park - Spray Feature,1880,Ward 22,2097,Le Claire- Hearst Park,Chicago_Park_Facility_0
-87.6615682355854,42.013133861649166,"1222 W Touhy Ave Chicago, IL 60626",Leone Beach Park - Beach,1876,Ward 49,2321,Leone Beach Park,Chicago_Park_Facility_1577
-87.76194100838433,41.88842080803086,"462 N Pine Ave Chicago, IL 60644",Levin Park - Spray Feature,1900,Ward 37,2463,Levin Park,Chicago_Park_Facility_1588
-87.7114676937495,41.84765140483658,"2410 S Trumbull Ave Chicago, IL 60623",Limas Park - Spray Feature,1880,Ward 22,2371,Limas Park,Chicago_Park_Facility_1591
-87.61298549923703,41.89343568896373,"200 W Fullerton Pkwy Chicago, IL 60614",Lincoln Park - Beach 1,NA,NA,1965,Lincoln Park,Chicago_Park_Facility_1601
-87.62474971373115,41.91448425679995,"200 W Fullerton Pkwy Chicago, IL 60614",Lincoln Park - Beach 2,NA,NA,1965,Lincoln Park,Chicago_Park_Facility_1602
-87.63587301657708,41.96549831236838,"200 W Fullerton Pkwy Chicago, IL 60614",Lincoln Park - Beach 3,NA,NA,1965,Lincoln Park,Chicago_Park_Facility_1603
-87.64944622891974,41.978473378966385,"200 W Fullerton Pkwy Chicago, IL 60614",Lincoln Park - Beach 4,NA,NA,1965,Lincoln Park,Chicago_Park_Facility_1604
-87.65174163461757,41.9860259321962,"200 W Fullerton Pkwy Chicago, IL 60614",Lincoln Park - Beach 5,NA,NA,1965,Lincoln Park,Chicago_Park_Facility_1605
-87.62279355072518,41.90289003660338,"200 W Fullerton Pkwy Chicago, IL 60614",Lincoln Park - Beach 6,NA,NA,1965,Lincoln Park,Chicago_Park_Facility_1606
-87.64881648606777,41.97762145867948,"200 W Fullerton Pkwy Chicago, IL 60614",Lincoln Park - Spray Feature 1,NA,NA,1965,Lincoln Park,Chicago_Park_Facility_1648
-87.64950666505337,41.97268314484182,"200 W Fullerton Pkwy Chicago, IL 60614",Lincoln Park - Spray Feature 2,NA,NA,1965,Lincoln Park,Chicago_Park_Facility_17657
-87.63725347859612,41.93855754748551,"200 W Fullerton Pkwy Chicago, IL 60614",Lincoln Park - Spray Feature 3,NA,NA,1965,Lincoln Park,Chicago_Park_Facility_17344
-87.65372104165044,41.984732041745936,"200 W Fullerton Pkwy Chicago, IL 60614",Lincoln Park - Spray Feature 4,NA,NA,1965,Lincoln Park,Chicago_Park_Facility_0
-87.67460423464198,41.78305576158132,"6054 S Damen Ave Chicago, IL 60636",Lindblom Park - Pool (Outdoor),1901,Ward 16,2049,Lindblom Park,Chicago_Park_Facility_1687
-87.72591484565285,41.901923994342326,"1139 N Pulaski Rd Chicago, IL 60651",Linden Park - Spray Feature,1900,Ward 37,2100,Linden Park,Chicago_Park_Facility_1695
-87.68161264734213,41.80191704074006,"2251 W 50th Pl Chicago, IL 60609",Little Venice Park - Spray Feature,1904,Ward 15,2361,Little Venice Park,Chicago_Park_Facility_1697
-87.6411684354096,41.799672100481885,"5203 S Lowe Ave Chicago, IL 60609",Lowe Park - Spray Feature,1861,Ward 3,2350,Lowe Park,Chicago_Park_Facility_1704
-87.65909651315154,42.00976786582215,"1230 W Greenleaf Ave Chicago, IL 60626",Loyola Park - Beach,1876,Ward 49,1974,Loyola Park,Chicago_Park_Facility_1707
-87.70710486583853,41.872950138355215,"3228 W Flournoy St Chicago, IL 60624",Magnolia Park - Spray Feature,1864,Ward 24,2114,Magnolia Park,Chicago_Park_Facility_1723
-87.55088906404025,41.656450182748785,"3035 E 130th St Chicago, IL 60633",Mann Park - Pool (Indoor),1891,Ward 10,1923,Mann Park,Chicago_Park_Facility_1736
-87.5505073416739,41.65648219024132,"3035 E 130th St Chicago, IL 60633",Mann Park - Spray Feature,1891,Ward 10,1923,Mann Park,Chicago_Park_Facility_1744
-87.69125094531356,41.91112872860354,"1640 N Maplewood Ave Chicago, IL 60647",Maplewood Park - Spray Feature,1893,Ward 1,2351,Maplewood Park,Chicago_Park_Facility_1754
